學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
南華大學,5690,2679,3011,205,182,20,0,0,0,2,0,1,561,147,0,24,34,143,5,22,17,13,76,12,25,12,1,30,677,95,0,193,62,267,0,1,7,34,5,12,1,,
南開科技大學,4382,2939,1443,151,120,31,0,0,0,0,0,0,194,20,8,7,12,81,2,1,26,2,1,5,3,10,2,14,503,49,2,160,75,191,0,0,0,12,4,0,10,,
台北海洋學校財團法人台北海洋科技大學,4491,2571,1920,248,215,33,0,0,0,0,0,0,455,28,64,0,105,123,1,3,37,4,0,1,0,0,77,12,698,8,3,221,139,234,0,0,9,33,33,4,14,,
台南家專學校財團法人台南應用科技大學,12714,3821,8893,215,197,0,0,1,0,0,17,0,1070,79,105,151,182,258,12,5,32,43,0,39,127,0,4,33,1378,66,1,381,84,712,0,0,10,66,19,12,27,,
台灣基督長老教會南神神學院,67,24,43,0,0,0,0,0,0,0,0,0,9,1,3,0,1,2,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,,
台灣首府學校財團法人台灣首府大學,1539,785,754,87,84,3,0,0,0,0,0,0,79,3,9,2,7,44,3,3,7,0,0,0,1,0,0,0,290,10,0,31,118,83,0,0,1,29,0,18,0,,
台神學校財團法人台灣神學研究學院,107,40,67,0,0,0,0,0,0,0,0,0,8,1,1,0,1,1,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,,
吳鳳科技大學,5182,3399,1783,79,72,7,0,0,0,0,0,0,483,12,29,50,50,95,3,0,34,1,2,17,35,4,149,2,452,17,0,58,17,337,0,0,1,4,2,10,6,,
和春技術學院,990,659,331,47,38,9,0,0,0,0,0,0,111,4,2,0,13,43,0,2,19,1,0,0,0,0,27,0,447,3,0,49,54,276,0,0,0,36,0,25,4,,
嘉藥學校財團法人嘉南藥理大學,13139,5562,7577,277,237,38,0,2,0,0,0,0,1279,44,52,1,42,89,3,1,30,12,1,3,0,0,410,591,1283,14,0,273,142,721,0,0,5,10,17,1,100,,
